Population/Stock Number,Migration Year,Species,Occupied River Miles,Abundance ,Density
1040,1994,Skagit River Chinook Salmon,325.3,2071000,6366
1040,1995,Skagit River Chinook Salmon,325.3,1933398,5943
1040,1996,Skagit River Chinook Salmon,325.3,1000270,3075
1040,1997,Skagit River Chinook Salmon,325.3,2758000,8478
1040,1998,Skagit River Chinook Salmon,325.3,2454000,7544
1040,1999,Skagit River Chinook Salmon,325.3,7712000,23707
1040,2000,Skagit River Chinook Salmon,325.3,1775000,5457
1040,2001,Skagit River Chinook Salmon,325.3,6793000,20882
1040,2002,Skagit River Chinook Salmon,325.3,5835000,17937
1040,2003,Skagit River Chinook Salmon,325.3,5018000,15426
1040,2004,Skagit River Chinook Salmon,325.3,3320000,10206
1040,2005,Skagit River Chinook Salmon,325.3,4126000,12684
1040,2006,Skagit River Chinook Salmon,325.3,5760000,17707
1040,2007,Skagit River Chinook Salmon,325.3,1719000,5284
1040,2008,Skagit River Chinook Salmon,325.3,1562000,4802
1040,2009,Skagit River Chinook Salmon,325.3,2289000,7037
1040,2010,Skagit River Chinook Salmon,325.3,1613622,4960
1040,2011,Skagit River Chinook Salmon,325.3,3677939,11306
1106,1992,Skykomish River Chinook Salmon,125.7,,
1106,1993,Skykomish River Chinook Salmon,125.7,,
1106,1994,Skykomish River Chinook Salmon,125.7,,
1106,1995,Skykomish River Chinook Salmon,125.7,,
1106,1996,Skykomish River Chinook Salmon,125.7,,
1106,1997,Skykomish River Chinook Salmon,125.7,,
1106,1998,Skykomish River Chinook Salmon,125.7,,
1106,1999,Skykomish River Chinook Salmon,125.7,,
1106,2000,Skykomish River Chinook Salmon,125.7,,
1106,2001,Skykomish River Chinook Salmon,125.7,422470,3361
1106,2002,Skykomish River Chinook Salmon,125.7,427661,3402
1106,2003,Skykomish River Chinook Salmon,125.7,766997,6102
1106,2004,Skykomish River Chinook Salmon,125.7,246358,1960
1106,2005,Skykomish River Chinook Salmon,125.7,325610,2590
1106,2006,Skykomish River Chinook Salmon,125.7,930860,7405
1106,2007,Skykomish River Chinook Salmon,125.7,647962,5155
1106,2008,Skykomish River Chinook Salmon,125.7,,
1106,2009,Skykomish River Chinook Salmon,125.7,475745,3785
1106,2010,Skykomish River Chinook Salmon,125.7,,
1106,2011,Skykomish River Chinook Salmon,125.7,,
1128,2001,Bear Creek (Lake Washington) Chinook Salmon,19.5,10506,539
1128,2002,Bear Creek (Lake Washington) Chinook Salmon,19.5,21318,1093
1128,2003,Bear Creek (Lake Washington) Chinook Salmon,19.5,17281,886
1128,2004,Bear Creek (Lake Washington) Chinook Salmon,19.5,23647,1213
1128,2005,Bear Creek (Lake Washington) Chinook Salmon,19.5,9270,475
1128,2006,Bear Creek (Lake Washington) Chinook Salmon,19.5,22362,1147
1128,2007,Bear Creek (Lake Washington) Chinook Salmon,19.5,16529,848
1128,2008,Bear Creek (Lake Washington) Chinook Salmon,19.5,12706,652
1128,2009,Bear Creek (Lake Washington) Chinook Salmon,19.5,65202,3344
1128,2010,Bear Creek (Lake Washington) Chinook Salmon,19.5,9116,467
1128,2011,Bear Creek (Lake Washington) Chinook Salmon,19.5,18175,932
1144,1999,Cedar River (Lake Washington) Chinook Salmon,36.1,80104,2219
1144,2000,Cedar River (Lake Washington) Chinook Salmon,36.1,64723,1793
1144,2001,Cedar River (Lake Washington) Chinook Salmon,36.1,32151,891
1144,2002,Cedar River (Lake Washington) Chinook Salmon,36.1,119139,3300
1144,2003,Cedar River (Lake Washington) Chinook Salmon,36.1,235397,6521
1144,2004,Cedar River (Lake Washington) Chinook Salmon,36.1,120804,3346
1144,2005,Cedar River (Lake Washington) Chinook Salmon,36.1,134298,3720
1144,2006,Cedar River (Lake Washington) Chinook Salmon,36.1,117559,3256
1144,2007,Cedar River (Lake Washington) Chinook Salmon,36.1,122409,3391
1144,2008,Cedar River (Lake Washington) Chinook Salmon,36.1,772620,21402
1144,2009,Cedar River (Lake Washington) Chinook Salmon,36.1,139538,3865
1144,2010,Cedar River (Lake Washington) Chinook Salmon,36.1,146037,4045
1144,2011,Cedar River (Lake Washington) Chinook Salmon,36.1,187806,5202
1160,2000,Green Duwamish Chinook Salmon,46.9,475207,10132
1160,2001,Green Duwamish Chinook Salmon,46.9,809616,17263
1160,2002,Green Duwamish Chinook Salmon,46.9,584151,12455
1160,2003,Green Duwamish Chinook Salmon,46.9,449956,9594
1160,2004,Green Duwamish Chinook Salmon,46.9,236650,5046
1160,2005,Green Duwamish Chinook Salmon,46.9,470334,10028
1160,2006,Green Duwamish Chinook Salmon,46.9,99796,2128
1160,2007,Green Duwamish Chinook Salmon,46.9,127491,2718
1160,2008,Green Duwamish Chinook Salmon,46.9,400763,8545
1160,2009,Green Duwamish Chinook Salmon,46.9,196115,4182
1160,2010,Green Duwamish Chinook Salmon,46.9,55547,1184
1160,2011,Green Duwamish Chinook Salmon,46.9,302653,6453
1176,1992,Puyallup River Chinook Salmon,90.9,,
1176,1993,Puyallup River Chinook Salmon,90.9,,
1176,1994,Puyallup River Chinook Salmon,90.9,,
1176,1995,Puyallup River Chinook Salmon,90.9,,
1176,1996,Puyallup River Chinook Salmon,90.9,,
1176,1997,Puyallup River Chinook Salmon,90.9,,
1176,1998,Puyallup River Chinook Salmon,90.9,,
1176,1999,Puyallup River Chinook Salmon,90.9,,
1176,2000,Puyallup River Chinook Salmon,90.9,21869,241
1176,2001,Puyallup River Chinook Salmon,90.9,39381,433
1176,2002,Puyallup River Chinook Salmon,90.9,42614,469
1176,2003,Puyallup River Chinook Salmon,90.9,31910,351
1176,2004,Puyallup River Chinook Salmon,90.9,73620,810
1176,2005,Puyallup River Chinook Salmon,90.9,62955,693
1176,2006,Puyallup River Chinook Salmon,90.9,44467,489
1176,2007,Puyallup River Chinook Salmon,90.9,12257,135
1176,2008,Puyallup River Chinook Salmon,90.9,89536,985
1176,2009,Puyallup River Chinook Salmon,90.9,11202,123
1176,2010,Puyallup River Chinook Salmon,90.9,25722,283
1176,2011,Puyallup River Chinook Salmon,90.9,40478,445
1200,2009,Nisqually River Chinook Salmon,65.1,432457,6643
1200,2010,Nisqually River Chinook Salmon,65.1,155446,2388
1200,2011,Nisqually River Chinook Salmon,65.1,128431,1973
1240,2005,Dungeness River Chinook Salmon,23.5,69399,2953
1240,2006,Dungeness River Chinook Salmon,23.5,124928,5316
1240,2007,Dungeness River Chinook Salmon,23.5,136571,5812
1240,2008,Dungeness River Chinook Salmon,23.5,14239,606
1240,2009,Dungeness River Chinook Salmon,23.5,20354,866
1240,2010,Dungeness River Chinook Salmon,23.5,9765,416
1240,2011,Dungeness River Chinook Salmon,23.5,14583,621
1248,2005,Elwha River Chinook Salmon,4.6,166639,36226
1248,2006,Elwha River Chinook Salmon,4.6,106312,23111
1248,2007,Elwha River Chinook Salmon,4.6,13320,2896
1248,2008,Elwha River Chinook Salmon,4.6,19227,4180
1248,2009,Elwha River Chinook Salmon,4.6,13052,2837
1248,2010,Elwha River Chinook Salmon,4.6,142454,30968
1248,2011,Elwha River Chinook Salmon,4.6,15907,3458
6203,2009,Nisqually River Steelhead,96.9,60075,620
6203,2010,Nisqually River Steelhead,96.9,94704,977
6203,2011,Nisqually River Steelhead,96.9,60740,627
6287,2009,Little Quilcene River Steelhead,8.6,1171,136
6287,2010,Little Quilcene River Steelhead,8.6,1730,201
6287,2011,Little Quilcene River Steelhead,8.6,1106,129
6301,2005,Dungeness River Steelhead,46.1,9192,199
6301,2006,Dungeness River Steelhead,46.1,6125,133
6301,2007,Dungeness River Steelhead,46.1,11445,248
6301,2008,Dungeness River Steelhead,46.1,10344,224
6301,2009,Dungeness River Steelhead,46.1,10101,219
6301,2010,Dungeness River Steelhead,46.1,17486,379
6301,2011,Dungeness River Steelhead,46.1,19600,425
